highly composite numbers less than 10^9

1                        1
2                        2                2
4                        3                2^2
6                        4                2*3
12                       6                2^2*3
24                       8                2^3*3
36                       9                2^2*3^2
48                       10               2^4*3
60                       12               2^2*3*5
120                      16               2^3*3*5
180                      18               2^2*3^2*5
240                      20               2^4*3*5
360                      24               2^3*3^2*5
720                      30               2^4*3^2*5
840                      32               2^3*3*5*7
1260                     36               2^2*3^2*5*7
1680                     40               2^4*3*5*7
2520                     48               2^3*3^2*5*7
5040                     60               2^4*3^2*5*7
7560                     64               2^3*3^3*5*7
10080                    72               2^5*3^2*5*7
15120                    80               2^4*3^3*5*7
20160                    84               2^6*3^2*5*7
25200                    90               2^4*3^2*5^2*7
27720                    96               2^3*3^2*5*7*11
45360                    100              2^4*3^4*5*7
50400                    108              2^5*3^2*5^2*7
55440                    120              2^4*3^2*5*7*11
83160                    128              2^3*3^3*5*7*11
110880                   144              2^5*3^2*5*7*11
166320                   160              2^4*3^3*5*7*11
221760                   168              2^6*3^2*5*7*11
277200                   180              2^4*3^2*5^2*7*11
332640                   192              2^5*3^3*5*7*11
498960                   200              2^4*3^4*5*7*11
554400                   216              2^5*3^2*5^2*7*11
665280                   224              2^6*3^3*5*7*11
720720                   240              2^4*3^2*5*7*11*13
1081080                  256              2^3*3^3*5*7*11*13
1441440                  288              2^5*3^2*5*7*11*13
2162160                  320              2^4*3^3*5*7*11*13
2882880                  336              2^6*3^2*5*7*11*13
3603600                  360              2^4*3^2*5^2*7*11*13
4324320                  384              2^5*3^3*5*7*11*13
6486480                  400              2^4*3^4*5*7*11*13
7207200                  432              2^5*3^2*5^2*7*11*13
8648640                  448              2^6*3^3*5*7*11*13
10810800                 480              2^4*3^3*5^2*7*11*13
14414400                 504              2^6*3^2*5^2*7*11*13
17297280                 512              2^7*3^3*5*7*11*13
21621600                 576              2^5*3^3*5^2*7*11*13
32432400                 600              2^4*3^4*5^2*7*11*13
36756720                 640              2^4*3^3*5*7*11*13*17
43243200                 672              2^6*3^3*5^2*7*11*13
61261200                 720              2^4*3^2*5^2*7*11*13*17
73513440                 768              2^5*3^3*5*7*11*13*17
110270160                800              2^4*3^4*5*7*11*13*17
122522400                864              2^5*3^2*5^2*7*11*13*17
147026880                896              2^6*3^3*5*7*11*13*17
183783600                960              2^4*3^3*5^2*7*11*13*17
245044800                1008             2^6*3^2*5^2*7*11*13*17
294053760                1024             2^7*3^3*5*7*11*13*17
367567200                1152             2^5*3^3*5^2*7*11*13*17
551350800                1200             2^4*3^4*5^2*7*11*13*17
698377680                1280             2^4*3^3*5*7*11*13*17*19
735134400                1344             2^6*3^3*5^2*7*11*13*17

